nombre,urls
Act 3: Chapter 35: Red King,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-35-red-king
Act 3: Chapter 36: Air Combat,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-36-air-combat
Act 3: Chapter 37: The Last Moment of The Wicked Spirit,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-37-the-last-moment-of-the-wicked-spirit
Act 3: Chapter 38: The Ugly Struggle of The Corpse Doll,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-38-the-ugly-struggle-of-the-corpse-doll
Act 3: Chapter 39.1 - The End of Turmoil,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-391-the-end-of-turmoil
Act 3: Chapter 39.2 - The End of Turmoil,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-392-the-end-of-turmoil
Act 3: Chapter 40: Lich's Aid(Side: Lunaire),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-40-lichs-aidside-lunaire
Act 3: Chapter 41: Aftermath,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-41-aftermath
Act 3: Chapter 42.1 - Failure of The Observer(Side: Nyarlhotep),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-421-failure-of-the-observerside-nyarlhotep
Act 3: Chapter 42.2 - Failure of The Observer(Side: Nyarlhotep),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-422-failure-of-the-observerside-nyarlhotep
Act 4: Chapter 1: 《Invisible Hand of God》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-1-invisible-hand-of-god
Act 4: Chapter 2: Three Masks,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-2-three-masks
"Act 4: Chapter 3: Cursed Mirror, Again",https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-3-cursed-mirror-again
Act 4: Chapter 4: Mirror Levelling,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-4-mirror-levelling
Act 4: Chapter 5: The Result of Mirror Leveling,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-5-the-result-of-mirror-leveling
Act 4: Chapter 12: Peach Dragon Village's Story,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-12-peach-dragon-villages-story
Act 4: Chapter 13: Entrance of The Peach Dragon Village,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-13-entrance-of-the-peach-dragon-village
Act 4: Chapter 16: Raigan's House,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-16-raigans-house
Act 4: Chapter 17: 《Dragon's Trial》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-17-dragons-trial
